npsn,nama_sekolah,jenjang,kecamatan,kota_kabupaten,jumlah_siswa
20106132,SD NEGERI PETUKANGAN SELATAN 02,SD,Pesanggrahan,Jakarta Selatan ,395
20106133,SDN PETUKANGAN SELATAN 03,SD,Pesanggrahan,Jakarta Selatan ,550
20106135,SDN PETUKANGAN SELATAN 05,SD,Pesanggrahan,Jakarta Selatan ,540
20106139,SD NEGERI PETUKANGAN UTARA 01 PG,SD,Pesanggrahan,Jakarta Selatan ,540
20106140,SDN Petukangan Utara 05 Pg.,SD,Pesanggrahan,Jakarta Selatan ,559
20106141,SDN Petukangan Utara 06 Pg.,SD,Pesanggrahan,Jakarta Selatan ,409
20106142,SDN Petukangan Utara 07 Pagi,SD,Pesanggrahan,Jakarta Selatan ,478
20106143,SD NEGERI PETUKANGAN UTARA 08,SD,Pesanggrahan,Jakarta Selatan ,470
20106144,SD NEGERI PETUKANGAN UTARA 09 PG,SD,Pesanggrahan,Jakarta Selatan ,446
20106145,SDN PONDOK LABU 01 PAGI,SD,Cilandak,Jakarta Selatan ,381
20106146,SDN Pondok Labu 02 Pg.,SD,Cilandak,Jakarta Selatan ,654
20106147,SDN PONDOK LABU 03,SD,Cilandak,Jakarta Selatan ,830
20106148,SD NEGERI PONDOK LABU 05 PAGI,SD,Cilandak,Jakarta Selatan ,318
20106150,SD NEGERI PONDOK LABU 07,SD,Cilandak,Jakarta Selatan ,605
20106154,SDN PONDOK LABU 11 PAGI,SD,Cilandak,Jakarta Selatan ,380
20106155,SD NEGERI PONDOK LABU 12,SD,Cilandak,Jakarta Selatan ,707
20106156,SDN Pondok Labu 13 Pg.,SD,Cilandak,Jakarta Selatan ,381
20106157,SDN Pondok Labu 14 Pg.,SD,Cilandak,Jakarta Selatan ,345
20106159,SD NEGERI PONDOK LABU 16,SD,Cilandak,Jakarta Selatan ,275
20106162,SDN PONDOK PINANG 03,SD,Kebayoran Lama,Jakarta Selatan ,412
20106164,SD NEGERI PULO 01 PAGI,SD,Kebayoran Baru,Jakarta Selatan ,204
20106165,SD NEGERI PULO 03 PAGI,SD,Kebayoran Baru,Jakarta Selatan ,177
20106172,SD NEGERI RAGUNAN 5 PAGI,SD,Pasar Minggu,Jakarta Selatan ,320
20106174,SDN RAGUNAN 12,SD,Pasar Minggu,Jakarta Selatan ,445
20106176,SD NEGERI RAGUNAN 14 PAGI,SD,Pasar Minggu,Jakarta Selatan ,380
20106183,SD NEGERI RAWAJATI 08 PG,SD,Pancoran,Jakarta Selatan ,376
20106184,SD NEGERI RAWA BARAT 09 PAGI,SD,Kebayoran Baru,Jakarta Selatan ,132
20106186,SD NEGERI SETIABUDI 01,SD,Setia Budi,Jakarta Selatan ,158
20106193,SDN Srengseng Sawah 07,SD,Jagakarsa,Jakarta Selatan ,824
20106195,SDN Srengseng Sawah 11 Pg.,SD,Jagakarsa,Jakarta Selatan ,430
20106196,SD NEGERI SRENGSENG SAWAH 12 PAGI,SD,Jagakarsa,Jakarta Selatan ,300
20106198,SD NEGERI SRENGSENG SAWAH 14 PG,SD,Jagakarsa,Jakarta Selatan ,265
20106199,SDN Srengseng Sawah 15 Pagi,SD,Jagakarsa,Jakarta Selatan ,487
20106201,SD NEGERI SRENGSENG SAWAH 17,SD,Jagakarsa,Jakarta Selatan ,406
20106202,SD NEGERI TANJUNG BARAT 01 PAGI,SD,Jagakarsa,Jakarta Selatan ,296
20106203,SD NEGERI TANJUNG BARAT 05 PAGI,SD,Jagakarsa,Jakarta Selatan ,373
20106214,SD NEGERI TEBET TIMUR 15 PAGI,SD,Tebet,Jakarta Selatan ,252
20106220,SDN ULUJAMI 05 PAGI,SD,Pesanggrahan,Jakarta Selatan ,374
20106270,SDN Grogol Utara 05 Pagi,SD,Kebayoran Lama,Jakarta Selatan ,211
20106342,SMP NEGERI 133 JAKARTA,SMP,Kepulauan Seribu Utara,Kepulauan Seribu,208
20106343,SMP NEGERI 241,SMP,Kepulauan Seribu Selatan,Kepulauan Seribu,183
20106344,SMPN 288 JAKARTA,SMP,Kepulauan Seribu Selatan,Kepulauan Seribu,132
20106346,SMP NEGERI 260 JAKARTA,SMP,Kepulauan Seribu Utara,Kepulauan Seribu,265
20106347,SMP NEGERI 285 JAKARTA,SMP,Kepulauan Seribu Selatan,Kepulauan Seribu,128
20106401,SMP Negeri 39 Jakarta,SMP,Gambir,Jakarta Pusat ,553
20106410,SMP Negeri 71,SMP,Cempaka Putih,Jakarta Pusat ,584
20106716,SMP NEGERI 136 JAKARTA,SMP,Koja,Jakarta Utara ,810
20107034,SMP NEGERI 16 JAKARTA,SMP,Kebayoran Lama,Jakarta Selatan ,865
20107179,SMP Negeri 283,SMP,Cipayung,Jakarta Timur ,659
20107180,SMP NEGERI 284 JAKARTA,SMP,Cakung,Jakarta Timur ,513
20107181,SMP Negeri 287,SMP,Makasar,Jakarta Timur ,726
20107182,SMP Negeri 35,SMP,Kramat Jati,Jakarta Timur ,1170
20107183,SMP NEGERI SATU ATAP 01 P. PARI,SMP,Kepulauan Seribu Selatan,Kepulauan Seribu,60
20107185,SMAN 69 JAKARTA,SMA,Kepulauan Seribu Utara,Kepulauan Seribu,555
20107319,SMAN 28 JAKARTA,SMA,Pasar Minggu,Jakarta Selatan ,779
20107320,SMAN 79 JAKARTA,SMA,Setia Budi,Jakarta Selatan ,702
20107358,SMKN 59 JAKARTA,SMK,Kebayoran Lama,Jakarta Selatan ,492
20107433,SMKN 23 JAKARTA,SMK,Pademangan,Jakarta Utara ,664
20107434,SMKN 33 JAKARTA,SMK,Kelapa Gading,Jakarta Utara ,681
20107436,SMKN 4 JAKARTA,SMK,Cilincing,Jakarta Utara ,1508
20107437,SMKN 49 JAKARTA,SMK,Cilincing,Jakarta Utara ,922
20107438,SMKN 55 JAKARTA,SMK,Pademangan,Jakarta Utara ,889
20107439,SMKN 56 JAKARTA,SMK,Penjaringan,Jakarta Utara ,1570
20107711,SMP NEGERI SATU ATAP 02 PULAU SABIRA,SMP,Kepulauan Seribu Utara,Kepulauan Seribu,24
20108286,SDN Kayumanis 02 Petang,SD,Matraman,Jakarta Timur ,183
20108287,SD NEGERI KAYUMANIS 03 PAGI,SD,Matraman,Jakarta Timur ,192
20108288,SDN Kebon Manggis 01,SD,Matraman,Jakarta Timur ,689
20108298,SD NEGERI KEBON MANGGIS 11 PAGI,SD,Matraman,Jakarta Timur ,232
20108302,SD NEGERI PALMERIAM 01 PAGI,SD,Matraman,Jakarta Timur ,218
20108303,SDN Palmeriam 02 Petang,SD,Matraman,Jakarta Timur ,243
20108309,SDN Pisangan Baru 07 Pg.,SD,Matraman,Jakarta Timur ,640
20108311,SDN Pisangan Baru 09 Pg.,SD,Matraman,Jakarta Timur ,187
20108316,SD NEGERI KAYUMANIS 01 PAGI,SD,Matraman,Jakarta Timur ,190
20108317,SDN Kayumanis 04 Pt.,SD,Matraman,Jakarta Timur ,168
20108318,SDN Kebon Manggis 12 Pt.,SD,Matraman,Jakarta Timur ,111
20108344,SDN Kebon Manggis 08 Pg.,SD,Matraman,Jakarta Timur ,320
20108378,SDN UTAN KAYU SELATAN 01 PAGI,SD,Matraman,Jakarta Timur ,193
20108379,SDN UTAN KAYU SELATAN 02 PETANG,SD,Matraman,Jakarta Timur ,160
20108380,SDN Utan Kayu Selatan 03 Pagi.,SD,Matraman,Jakarta Timur ,191
20108381,SD Negeri Utan Kayu Selatan 04 Pt.,SD,Matraman,Jakarta Timur ,116
20108382,SDN Utan Kayu Selatan 05,SD,Matraman,Jakarta Timur ,398
20108387,SD NEGERI BIDARACINA 03 PG,SD,Jatinegara,Jakarta Timur ,331
20108389,SD NEGERI BIDARACINA 05 PG,SD,Jatinegara,Jakarta Timur ,408
20108390,SDN Cipinang Besar Selatan 07 Pagi.,SD,Jatinegara,Jakarta Timur ,236
20108393,SD NEGERI CIPINANG BESAR SELATAN 01 PAGI,SD,Jatinegara,Jakarta Timur ,290
20108400,SD NEGERI CIPINANG BESAR SELATAN 02 PG,SD,Jatinegara,Jakarta Timur ,152
20108401,SD NEGERI CIPINANG BESAR SELATAN 04,SD,Jatinegara,Jakarta Timur ,326
20108402,SD NEGERI CIPINANG BESAR SELATAN 05 PG,SD,Jatinegara,Jakarta Timur ,310
20108411,SDN Utan Kayu Utara 07 Pg.,SD,Matraman,Jakarta Timur ,184
20108414,SD NEGERI UTAN KAYU SELATAN 09 PAGI,SD,Matraman,Jakarta Timur ,214
20108416,SDN Utan Kayu Selatan 11 Pg.,SD,Matraman,Jakarta Timur ,225
20108418,SD NEGERI UTAN KAYU SELATAN 13 PAGI,SD,Matraman,Jakarta Timur ,345
20108419,SDN UTAN KAYU SELATAN 14 PAGI,SD,Matraman,Jakarta Timur ,210
20108421,SDN Utan Kayu Selatan 19 Pt.,SD,Matraman,Jakarta Timur ,119
20108422,SDN Utan Kayu Selatan 21,SD,Matraman,Jakarta Timur ,363
20108425,SDN Pondok Bambu 10 Pg.,SD,Duren Sawit,Jakarta Timur ,321
20108440,SDN Cipinang Besar Selatan 08 Pg.,SD,Jatinegara,Jakarta Timur ,359
20108442,SDN Cipinang Besar Selatan 13 Pg.,SD,Jatinegara,Jakarta Timur ,306
20108445,SD NEGERI CIPINANG BESAR SELATAN 15 PG,SD,Jatinegara,Jakarta Timur ,315
20108446,SD NEGERI CIPINANG BESAR SELATAN 16,SD,Jatinegara,Jakarta Timur ,269
20108447,SD NEGERI CIPINANG BESAR SELATAN 17 PG,SD,Jatinegara,Jakarta Timur ,228
20108448,SD NEGERI CIPINANG BESAR SELATAN 18 PG,SD,Jatinegara,Jakarta Timur ,271
20108449,SDN Cipinang Besar Selatan 19 Pg.,SD,Jatinegara,Jakarta Timur ,207
20108450,SD NEGERI CIPINANG BESAR SELATAN 20,SD,Jatinegara,Jakarta Timur ,316
20108451,SDN Cipinang Besar Utara 01 Pg.,SD,Jatinegara,Jakarta Timur ,280
20108452,SDN Cipinang Besar Utara 02 Pt.,SD,Jatinegara,Jakarta Timur ,202
20108453,SDN Cipinang Besar Utara 03 Pg.,SD,Jatinegara,Jakarta Timur ,230
20108454,SDN Cipinang Besar Utara 04 Pt.,SD,Jatinegara,Jakarta Timur ,160
20108455,SD NEGERI CIPINANG BESAR UTARA 05 PG,SD,Jatinegara,Jakarta Timur ,306
20108457,SDN Cipinang Besar Utara 06 Petang,SD,Jatinegara,Jakarta Timur ,251
20108458,SD NEGERI CIPINANG BESAR UTARA 07 PETANG,SD,Jatinegara,Jakarta Timur ,281
20108459,SD NEGERI CIPINANG BESAR UTARA 08 PG,SD,Jatinegara,Jakarta Timur ,373
20108460,SD NEGERI CIPINANG BESAR UTARA 09 PG (SEKOLAH STAN,SD,Jatinegara,Jakarta Timur ,375
20108461,SD NEGERI CIPINANG BESAR UTARA 10 PAGI,SD,Jatinegara,Jakarta Timur ,376
20108462,SD NEGERI CIPINANG BESAR UTARA 11 PG,SD,Jatinegara,Jakarta Timur ,366
20108463,SDN Cipinang Cempedak 01 Pagi,SD,Jatinegara,Jakarta Timur ,312
20108521,SD NEGERI CIPINANG CEMPEDAK 02 PAGI,SD,Jatinegara,Jakarta Timur ,318
20108523,SD NEGERI CIPINANG CEMPEDAK 04,SD,Jatinegara,Jakarta Timur ,355
20108524,SD NEGERI CIPINANG CEMPEDAK 05 PG,SD,Jatinegara,Jakarta Timur ,232
20108525,SD NEGERI CIPINANG CEMPEDAK 06 PG,SD,Jatinegara,Jakarta Timur ,185
20108526,SD NEGERI CIPINANG CEMPEDAK 07,SD,Jatinegara,Jakarta Timur ,361
20108528,SD NEGERI CIPINANG CEMPEDAK 09 PAGI,SD,Jatinegara,Jakarta Timur ,242
20108529,SDN CIPINANG MUARA 01,SD,Jatinegara,Jakarta Timur ,372
20108530,SDN Cipinang Muara 02 Pg.,SD,Jatinegara,Jakarta Timur ,345
20108532,SD NEGERI CIPINANG MUARA 04,SD,Jatinegara,Jakarta Timur ,396
20108533,SDN CIPINANG MUARA 05 PAGI,SD,Jatinegara,Jakarta Timur ,381
20108534,SDN Cipinang Muara 06 Pg.,SD,Jatinegara,Jakarta Timur ,375
20108535,SD NEGERI CIPINANG MUARA 07,SD,Jatinegara,Jakarta Timur ,408
20108538,SDN CIPINANG MUARA 12,SD,Jatinegara,Jakarta Timur ,356
20108540,SD Negeri Cipinang Muara 14 Pagi,SD,Jatinegara,Jakarta Timur ,305
20108541,SD NEGERI CIPINANG MUARA 15 PAGI,SD,Jatinegara,Jakarta Timur ,301
20108545,SDN CIPINANG 01 PAGI,SD,Pulo Gadung,Jakarta Timur ,381
20108547,SD NEGERI CIPINANG MUARA 16 PAGI,SD,Jatinegara,Jakarta Timur ,299
20108548,SD NEGERI CIPINANG MUARA 17 PAGI,SD,Jatinegara,Jakarta Timur ,284
20108550,SD NEGERI CIPINANG MUARA 19 PG,SD,Jatinegara,Jakarta Timur ,191
20108551,SD Negeri Cipinang Muara 20 Pg.,SD,Jatinegara,Jakarta Timur ,182
20108552,SDN Cipinang Muara 21 Pg.,SD,Jatinegara,Jakarta Timur ,162
20108557,SD NEGERI DUREN SAWIT 01,SD,Duren Sawit,Jakarta Timur ,568
20108558,SD NEGERI DUREN SAWIT 02,SD,Duren Sawit,Jakarta Timur ,422
20108560,SD NEGERI DUREN SAWIT 05 PG,SD,Duren Sawit,Jakarta Timur ,556
20108561,SD NEGERI DUREN SAWIT 06,SD,Duren Sawit,Jakarta Timur ,344
20108562,SDN Duren Sawit 07 Pg.,SD,Duren Sawit,Jakarta Timur ,361
20108563,SDN Duren Sawit 08 Pg.,SD,Duren Sawit,Jakarta Timur ,366
20108565,SDN Duren Sawit 10 Pagi,SD,Duren Sawit,Jakarta Timur ,420
20108568,SD NEGERI DUREN SAWIT 13 PG,SD,Duren Sawit,Jakarta Timur ,485
20108569,SDN DUREN SAWIT 14,SD,Duren Sawit,Jakarta Timur ,211
20108570,SD NEGERI DUREN SAWIT 15 PG,SD,Duren Sawit,Jakarta Timur ,332
20108571,SD NEGERI DUREN SAWIT 16 PG,SD,Duren Sawit,Jakarta Timur ,484
20108573,SD NEGERI DUREN SAWIT 18,SD,Duren Sawit,Jakarta Timur ,320
20108574,SD NEGERI KAMPUNG MELAYU 01 PAGI,SD,Jatinegara,Jakarta Timur ,436
20108576,SDN KLENDER 01,SD,Duren Sawit,Jakarta Timur ,611
20108578,SDN Klender 03 Pg.,SD,Duren Sawit,Jakarta Timur ,574
20108579,SDN KLENDER 04,SD,Duren Sawit,Jakarta Timur ,486
20108580,SD NEGERI KLENDER 06 PAGI,SD,Duren Sawit,Jakarta Timur ,599
20108583,SDN KLENDER 10 PAGI,SD,Duren Sawit,Jakarta Timur ,468
20108584,SDN Klender 12 Pg.,SD,Duren Sawit,Jakarta Timur ,287
20108585,SDN KLENDER 13,SD,Duren Sawit,Jakarta Timur ,376
20108586,SD NEGERI KLENDER 14,SD,Duren Sawit,Jakarta Timur ,368
20108587,SD NEGERI KLENDER 15 PAGI,SD,Duren Sawit,Jakarta Timur ,454
20108588,SDN Klender 16 Pg.,SD,Duren Sawit,Jakarta Timur ,435
20108591,SD NEGERI KLENDER 20 PAGI,SD,Duren Sawit,Jakarta Timur ,272
20108592,SDN KLENDER 21,SD,Duren Sawit,Jakarta Timur ,371
20108593,SD NEGERI KLENDER 22 PAGI,SD,Duren Sawit,Jakarta Timur ,445
20108597,SD N MALAKA JAYA 01,SD,Duren Sawit,Jakarta Timur ,599
20108599,SDN Malaka Jaya 04 Pg.,SD,Duren Sawit,Jakarta Timur ,373
20108600,SD NEGERI MALAKA JAYA 05 PG,SD,Duren Sawit,Jakarta Timur ,375
20108601,SDN Malaka Jaya 06 Pg.,SD,Duren Sawit,Jakarta Timur ,360
20108602,SDN Malaka Jaya 07 Pg.,SD,Duren Sawit,Jakarta Timur ,378
20108603,SDN Malaka Jaya 08,SD,Duren Sawit,Jakarta Timur ,351
20108604,SDN Malaka Jaya 09,SD,Duren Sawit,Jakarta Timur ,309
20108605,SDN Malaka Jaya 10,SD,Duren Sawit,Jakarta Timur ,465
20108606,SDN MALAKA JAYA 11,SD,Duren Sawit,Jakarta Timur ,436
20108607,SDN MALAKA JAYA 12 PAGI,SD,Duren Sawit,Jakarta Timur ,289
20108612,SD NEGERI MALAKA SARI 01 PG,SD,Duren Sawit,Jakarta Timur ,182
20108613,SD NEGERI MALAKA SARI 02 PG,SD,Duren Sawit,Jakarta Timur ,404
20108614,SDN Malaka Sari 03,SD,Duren Sawit,Jakarta Timur ,574
20108615,SD NEGERI MALAKA SARI 04,SD,Duren Sawit,Jakarta Timur ,541
20108616,SDN MALAKA SARI 05,SD,Duren Sawit,Jakarta Timur ,610
20108620,SDN MALAKA SARI 13,SD,Duren Sawit,Jakarta Timur ,403
20108623,SD NEGERI PONDOK BAMBU 01 PG,SD,Duren Sawit,Jakarta Timur ,476
20108624,SD NEGERI PONDOK BAMBU 02 PG,SD,Duren Sawit,Jakarta Timur ,586
20108626,SDN PONDOK BAMBU 04,SD,Duren Sawit,Jakarta Timur ,650
20108628,SDN PONDOK BAMBU 06,SD,Duren Sawit,Jakarta Timur ,435
20108629,SDN PONDOK BAMBU 07,SD,Duren Sawit,Jakarta Timur ,544
20108632,SDN Pondok Bambu 11 Pg.,SD,Duren Sawit,Jakarta Timur ,414
20108634,SD NEGERI PONDOK BAMBU 13 PG,SD,Duren Sawit,Jakarta Timur ,352
20108635,SD NEGERI PONDOK BAMBU 15 PG,SD,Duren Sawit,Jakarta Timur ,385
20108638,SD NEGERI PONDOK KELAPA 01 PAGI,SD,Duren Sawit,Jakarta Timur ,752
20108640,SD NEGERI PONDOK KELAPA 03 PAGI,SD,Duren Sawit,Jakarta Timur ,415
20108641,SDN Pondok Kelapa 04,SD,Duren Sawit,Jakarta Timur ,483
20108642,SD NEGERI PONDOK KELAPA 05 PG,SD,Duren Sawit,Jakarta Timur ,759
20108643,SD NEGERI PONDOK KELAPA 06,SD,Duren Sawit,Jakarta Timur ,574
20108644,SD NEGERI PONDOK KELAPA 07 PAGI,SD,Duren Sawit,Jakarta Timur ,506
20108646,SDN PONDOK KELAPA 09 PAGI,SD,Duren Sawit,Jakarta Timur ,486
20108647,SD NEGERI PONDOK KELAPA 10 PAGI,SD,Duren Sawit,Jakarta Timur ,568
20108650,SD NEGERI PONDOK KOPI 01 PAGI,SD,Duren Sawit,Jakarta Timur ,381
20108651,SD NEGERI PONDOK KOPI 02 PAGI,SD,Duren Sawit,Jakarta Timur ,647
20108652,SDN Pondok Kopi 03 Pg.,SD,Duren Sawit,Jakarta Timur ,530
20108653,SD NEGERI PONDOK KOPI 04 PAGI,SD,Duren Sawit,Jakarta Timur ,730
20108655,SD NEGERI PONDOK KOPI 07 PAGI,SD,Duren Sawit,Jakarta Timur ,370
20108656,SD NEGERI PONDOK KOPI 08 PG,SD,Duren Sawit,Jakarta Timur ,472
20108657,SDN Rawa Bunga 01 Pg.,SD,Jatinegara,Jakarta Timur ,332
20108659,SDN RAWA BUNGA 11 PAGI,SD,Jatinegara,Jakarta Timur ,531
20108660,SDN Rawa Bunga 12,SD,Jatinegara,Jakarta Timur ,532
20108665,SD NEGERI BALIMESTER 01 PG,SD,Jatinegara,Jakarta Timur ,377
20108668,SDN Balimester 03 Petang,SD,Jatinegara,Jakarta Timur ,346
20108670,SDN BARU 07 PAGI,SD,Pasar Rebo,Jakarta Timur ,400
20108671,SDN Cibubur 09 Pg.,SD,Ciracas,Jakarta Timur ,670
20108672,SDN CIBUBUR 11 PAGI,SD,Ciracas,Jakarta Timur ,479
20108690,SDN Cipinang Muara 18 Pagi,SD,Jatinegara,Jakarta Timur ,296
20108696,SDN Ciracas 01,SD,Ciracas,Jakarta Timur ,462
20108706,SD NEGERI JATINEGARA 03 PAGI,SD,Cakung,Jakarta Timur ,491
20108708,SDN JATINEGARA 06,SD,Cakung,Jakarta Timur ,1039
20108709,SD NEGERI JATINEGARA 14 PETANG,SD,Cakung,Jakarta Timur ,293
20108710,SDN KALISARI 02 PAGI,SD,Pasar Rebo,Jakarta Timur ,410
20108711,SDN Kalisari 05,SD,Pasar Rebo,Jakarta Timur ,903
20108715,SDN Kampung Melayu 02 Pt.,SD,Jatinegara,Jakarta Timur ,413
20108716,SDN Kebon Pala 01 Pg.,SD,Makasar,Jakarta Timur ,382
20108743,SDN PENGGILINGAN 05,SD,Cakung,Jakarta Timur ,639
20108744,SD NEGERI UJUNG MENTENG 01 PAGI,SD,Cakung,Jakarta Timur ,379
20108751,SD NEGERI PONDOK BAMBU 14,SD,Duren Sawit,Jakarta Timur ,332
20108774,SD NEGERI RAWATERATE 01 PAGI,SD,Cakung,Jakarta Timur ,366
20108780,SDN Rawaterate 02 Pt.,SD,Cakung,Jakarta Timur ,384
20108781,SD NEGERI RAWATERATE 03 PAGI,SD,Cakung,Jakarta Timur ,378
20108782,SDN Susukan 01,SD,Ciracas,Jakarta Timur ,345
20108788,SDN Batu Ampar 10 Pg.,SD,Kramat Jati,Jakarta Timur ,345
20108812,SDN Baru 05 Pg.,SD,Pasar Rebo,Jakarta Timur ,308
20108813,SDN BARU 06 PAGI,SD,Pasar Rebo,Jakarta Timur ,378
20108814,SDN Cijantung 01 Pg.,SD,Pasar Rebo,Jakarta Timur ,374
20108815,SDN Cijantung 03 Pg.,SD,Pasar Rebo,Jakarta Timur ,379
20108816,SDN Cijantung 05 Pg.,SD,Pasar Rebo,Jakarta Timur ,479
20108817,SDN Cijantung 06 Pg.,SD,Pasar Rebo,Jakarta Timur ,528
20108821,SDN GEDONG 01,SD,Pasar Rebo,Jakarta Timur ,375
20108822,SDN Gedong 05,SD,Pasar Rebo,Jakarta Timur ,515
20108824,SDN Gedong 10 Pg.,SD,Pasar Rebo,Jakarta Timur ,401
20108826,SDN KALISARI 03 PAGI,SD,Pasar Rebo,Jakarta Timur ,546
20108829,SDN PEKAYON 12,SD,Pasar Rebo,Jakarta Timur ,369
20108830,SDN Pekayon 15 Pg.,SD,Pasar Rebo,Jakarta Timur ,444
20108831,SDN Pekayon 16 Pg.,SD,Pasar Rebo,Jakarta Timur ,658
20108833,SDN PEKAYON 18 PG,SD,Pasar Rebo,Jakarta Timur ,378
20108834,SDN Pekayon 01 Pg.,SD,Pasar Rebo,Jakarta Timur ,381
20108836,SDN Pekayon 03 Pg.,SD,Pasar Rebo,Jakarta Timur ,522
20108838,SDN PEKAYON 05,SD,Pasar Rebo,Jakarta Timur ,490
20108839,SDN Pekayon 07 Pg.,SD,Pasar Rebo,Jakarta Timur ,413
20108841,SDN Pekayon 10 Pg.,SD,Pasar Rebo,Jakarta Timur ,382
20108842,SDN Pekayon 11 Pg.,SD,Pasar Rebo,Jakarta Timur ,382
20108844,SDN Utan Kayu Utara 01,SD,Matraman,Jakarta Timur ,520
20108848,SDN Utan Kayu Utara 08 Pg.,SD,Matraman,Jakarta Timur ,191
20108849,SD NEGERI UTAN KAYU UTARA 11 PAGI,SD,Matraman,Jakarta Timur ,280
20108854,SMP NEGERI 286 JAKARTA,SMP,Grogol Petamburan,Jakarta Barat ,583
20108940,SD NEGERI JOGLO 09 PG,SD,Kembangan,Jakarta Barat ,711
20108945,SD NEGERI PEGADUNGAN 14 PG,SD,Kali Deres,Jakarta Barat ,395
20108946,SDN PEGADUNGAN 15 PT,SD,Kali Deres,Jakarta Barat ,311
20108950,SDN CENGKARENG BARAT 20 PETANG,SD,Cengkareng,Jakarta Barat ,275
20108967,SDN KALISARI 01 PAGI,SD,Pasar Rebo,Jakarta Timur ,890
20108968,SDN KELAPA DUA WETAN 04 PAGI,SD,Ciracas,Jakarta Timur ,390
20108976,SD NEGERI BALIMESTER 06 PG,SD,Jatinegara,Jakarta Timur ,569
20108981,SDN Pekayon 09,SD,Pasar Rebo,Jakarta Timur ,500
20108989,SDN BARU 01 PAGI,SD,Pasar Rebo,Jakarta Timur ,344
20108990,SDN BARU 03 PAGI,SD,Pasar Rebo,Jakarta Timur ,527
20108994,SDN Gedong 12 Pg.,SD,Pasar Rebo,Jakarta Timur ,546
20108996,SDN Gedong 11 Pg.,SD,Pasar Rebo,Jakarta Timur ,325
20108997,SDN BARU 02 PAGI,SD,Pasar Rebo,Jakarta Timur ,376
20109002,SDN Halim 01,SD,Makasar,Jakarta Timur ,570
20109019,SD NEGERI BIDARACINA 01 PG,SD,Jatinegara,Jakarta Timur ,278
20109021,SDN CIPINANG BESAR SELATAN 12 PG,SD,Jatinegara,Jakarta Timur ,176
20109024,SDN Gedong 08 Pg.,SD,Pasar Rebo,Jakarta Timur ,500
20109025,SDN Palmeriam 03 Pg.,SD,Matraman,Jakarta Timur ,215
20109029,SDN PISANGAN BARU 01,SD,Matraman,Jakarta Timur ,540
20109030,SDN Pisangan Baru 11 Pagi,SD,Matraman,Jakarta Timur ,307
20109031,SDN PISANGAN BARU 13 PG.,SD,Matraman,Jakarta Timur ,204
20109047,SDN Rorotan 07 Pg.,SD,Cilincing,Jakarta Utara ,352
20109049,SD NEGERI CENGKARENG TIMUR 21 PG,SD,Cengkareng,Jakarta Barat ,380
20109050,SD NEGERI DURI KOSAMBI 10 PG,SD,Cengkareng,Jakarta Barat ,365
20109067,SD NEGERI JOGLO 01 PG,SD,Kembangan,Jakarta Barat ,381
20109084,SDN Makasar 01 Pg.,SD,Makasar,Jakarta Timur ,346
20109093,SDN BARU 08 PAGI,SD,Pasar Rebo,Jakarta Timur ,362
20109104,SDN Pinang Ranti 01,SD,Makasar,Jakarta Timur ,555
20109105,SD Negeri Jelambar Baru 03 Pagi,SD,Grogol Petamburan,Jakarta Barat ,403
20109110,SDN Gedong 03 Pg.,SD,Pasar Rebo,Jakarta Timur ,803
20109115,SDN Cibubur 05,SD,Ciracas,Jakarta Timur ,674
20109126,SDN Susukan 09 Pg.,SD,Ciracas,Jakarta Timur ,469
20109137,SDN Pisangan Baru 10 Pt.,SD,Matraman,Jakarta Timur ,145
20109142,SD NEGERI PEGADUNGAN 07 PG,SD,Kali Deres,Jakarta Barat ,255
20109151,SDN Cibubur 10 Pg.,SD,Ciracas,Jakarta Timur ,608
20109161,SDN Cipinang Melayu 07 Pg.,SD,Makasar,Jakarta Timur ,364
20109164,SDN Pisangan Baru 05 Pg.,SD,Matraman,Jakarta Timur ,178
20109165,SMKN 61 JAKARTA,SMK,Kepulauan Seribu Selatan,Kepulauan Seribu,603
20109169,SD NEGERI UTAN KAYU SELATAN 27 PAGI,SD,Matraman,Jakarta Timur ,249
20109170,SDN Kayu Putih 01 Pg.,SD,Pulo Gadung,Jakarta Timur ,473
20109175,SD NEGERI PLUIT 05 PG,SD,Penjaringan,Jakarta Utara ,655
20109179,SDN Cijantung 02 Pagi,SD,Pasar Rebo,Jakarta Timur ,530
20109183,SMP Negeri 49 Jakarta,SMP,Kramat Jati,Jakarta Timur ,961
20109194,SDN Kelapa Dua Wetan 03 Pg.,SD,Ciracas,Jakarta Timur ,509
20109211,SD NEGERI CAKUNG TIMUR 09 PAGI,SD,Cakung,Jakarta Timur ,491
20109212,SMP Negeri 229,SMP,Kebon Jeruk,Jakarta Barat ,886
20109214,SDN CIPINANG BESAR SELATAN 03 PAGI,SD,Jatinegara,Jakarta Timur ,364
20109221,SDN Rawamangun 12 PAGI,SD,Pulo Gadung,Jakarta Timur ,822
20109225,SDN Batu Ampar 09 Pg.,SD,Kramat Jati,Jakarta Timur ,295
20109242,SDN Ciracas 03 Pg.,SD,Ciracas,Jakarta Timur ,758
20109246,SMKN 62 JAKARTA,SMK,Jagakarsa,Jakarta Selatan ,528
20109257,SMP Negeri 180,SMP,Cipayung,Jakarta Timur ,605
20109262,SDN Cijantung 07 Pg.,SD,Pasar Rebo,Jakarta Timur ,531
20109268,SD NEGERI PALMERAH 09 PAGI,SD,Palmerah,Jakarta Barat ,392
